吉林电信,#genre#
CCTV-1HD,http://183.92.150.209:2121/udp/228.0.0.1:6108
CCTV-2HD,http://183.92.150.209:2121/udp/228.0.0.2:6108
CCTV-3HD,http://183.92.150.209:2121/udp/228.0.0.156:7156
CCTV-4HD,http://183.92.150.209:2121/udp/228.0.0.143:7143
CCTV-5HD,http://183.92.150.209:2121/udp/228.0.0.112:6108
CCTV-6HD,http://183.92.150.209:2121/udp/228.0.0.157:7157
CCTV-7HD,http://183.92.150.209:2121/udp/228.0.0.7:6108
CCTV-8HD,http://183.92.150.209:2121/udp/228.0.0.158:7158

CCTV-13HD,http://183.92.150.209:2121/udp/228.0.0.202:6108
CCTV-1,udp://239.3.3.19:10001
CCTV-2,http://113.65.162.208:8081/hls/2/index.m3u8
CCTV-3,http://113.65.162.208:8081/hls/3/index.m3u8
CCTV-4,http://113.65.162.208:8081/hls/4/index.m3u8
CCTV-5,http://113.65.162.208:8081/hls/5/index.m3u8
CCTV-6,http://113.65.162.208:8081/hls/6/index.m3u8
CCTV-7,http://113.65.162.208:8081/hls/7/index.m3u8
CCTV-8,http://113.65.162.208:8081/hls/8/index.m3u8
CCTV-9,http://113.65.162.208:8081/hls/9/index.m3u8
CCTV-10,http://113.65.162.208:8081/hls/10/index.m3u8
CCTV-11,http://113.65.162.208:8081/hls/11/index.m3u8
CCTV-12,http://113.65.162.208:8081/hls/12/index.m3u8
CCTV-13,http://113.65.162.208:8081/hls/13/index.m3u8
CCTV-14,http://113.65.162.208:8081/hls/14/index.m3u8
CCTV-15,http://113.65.162.208:8081/hls/15/index.m3u8
CCTV-5+,http://113.65.162.208:8081/hls/16/index.m3u8
CCTV-17,http://113.65.162.208:8081/hls/17/index.m3u8
星空卫视,http://113.65.162.208:8081/hls/18/index.m3u8
凤凰中文台,http://113.65.162.208:8081/hls/19/index.m3u8
香港翡翠,http://113.65.162.208:8081/hls/20/index.m3u8
香港明珠,http://113.65.162.208:8081/hls/21/index.m3u8
澳亚卫视,http://113.65.162.208:8081/hls/22/index.m3u8
广东南方卫视,http://113.65.162.208:8081/hls/23/index.m3u8
广州台,http://113.65.162.208:8081/hls/24/index.m3u8
广东珠江,http://113.65.162.208:8081/hls/25/index.m3u8
广东公共,http://113.65.162.208:8081/hls/26/index.m3u8
广东新闻,http://113.65.162.208:8081/hls/27/index.m3u8
广东嘉佳卡通,http://113.65.162.208:8081/hls/28/index.m3u8
广东经济科教,http://113.65.162.208:8081/hls/30/index.m3u8
广东影视,http://113.65.162.208:8081/hls/31/index.m3u8
广东少儿,http://113.65.162.208:8081/hls/32/index.m3u8
广州综合,http://113.65.162.208:8081/hls/33/index.m3u8
广州新闻,http://113.65.162.208:8081/hls/34/index.m3u8
广州竞赛,http://113.65.162.208:8081/hls/35/index.m3u8
广州影视,http://113.65.162.208:8081/hls/36/index.m3u8
广州经济,http://113.65.162.208:8081/hls/37/index.m3u8
广州新闻,http://113.65.162.208:8081/hls/39/index.m3u8
广东经济科教,http://113.65.162.208:8081/hls/40/index.m3u8
广东体育,http://113.65.162.208:8081/hls/41/index.m3u8
广东卫视,http://113.65.162.208:8081/hls/42/index.m3u8
深圳卫视,http://113.65.162.208:8081/hls/43/index.m3u8
湖南卫视,http://113.65.162.208:8081/hls/44/index.m3u8
东方卫视,http://113.65.162.208:8081/hls/45/index.m3u8
北京卫视,http://113.65.162.208:8081/hls/46/index.m3u8
浙江卫视,http://113.65.162.208:8081/hls/47/index.m3u8
江苏卫视,http://113.65.162.208:8081/hls/48/index.m3u8
黑龙江卫视,http://113.65.162.208:8081/hls/49/index.m3u8
天津卫视,http://113.65.162.208:8081/hls/50/index.m3u8
山东卫视,http://113.65.162.208:8081/hls/51/index.m3u8
湖北卫视,http://113.65.162.208:8081/hls/52/index.m3u8
安徽卫视,http://113.65.162.208:8081/hls/53/index.m3u8
辽宁卫视,http://113.65.162.208:8081/hls/54/index.m3u8
贵州卫视,http://113.65.162.208:8081/hls/55/index.m3u8
四川卫视,http://113.65.162.208:8081/hls/56/index.m3u8
重庆卫视,http://113.65.162.208:8081/hls/57/index.m3u8
河北卫视,http://113.65.162.208:8081/hls/58/index.m3u8
江西卫视,http://113.65.162.208:8081/hls/59/index.m3u8
吉林卫视,http://113.65.162.208:8081/hls/60/index.m3u8
广西卫视,http://113.65.162.208:8081/hls/61/index.m3u8
云南卫视,http://113.65.162.208:8081/hls/62/index.m3u8
青海卫视,http://113.65.162.208:8081/hls/63/index.m3u8
山西卫视,http://113.65.162.208:8081/hls/64/index.m3u8
陕西卫视,http://113.65.162.208:8081/hls/65/index.m3u8
CETV-1,http://113.65.162.208:8081/hls/67/index.m3u8
劲爆体育,http://113.65.162.208:8081/hls/68/index.m3u8
全纪实,http://113.65.162.208:8081/hls/69/index.m3u8
金鹰卡通,http://113.65.162.208:8081/hls/71/index.m3u8
岭南戏曲,http://113.65.162.208:8081/hls/72/index.m3u8
MTV,http://113.65.162.208:8081/hls/73/index.m3u8


黑龙江联通-组播3,#genre#
黑龙江卫视,http://218.8.87.96:4000/rtp/229.58.190.150:5000
黑龙江影视频道,http://218.8.87.96:4000/rtp/229.58.190.14:5000
黑龙江新闻法治,http://218.8.87.96:4000/rtp/229.58.190.16:5000
黑龙江少儿频道,http://218.8.87.96:4000/rtp/229.58.190.39:5000
黑龙江文体频道,http://218.8.87.96:4000/rtp/229.58.190.116:5000
黑龙江农业科教,http://218.8.87.96:4000/rtp/229.58.190.123:5000
黑龙江都市频道,http://218.8.87.96:4000/rtp/229.58.190.121:5000
哈尔滨新闻综合,http://218.8.87.96:4000/rtp/229.58.190.195:5000
哈尔滨生活频道,http://218.8.87.96:4000/rtp/229.58.190.22:5000
哈尔滨影视频道,http://218.8.87.96:4000/rtp/229.58.190.1:5000
齐齐哈尔新闻综合,http://218.8.87.96:4000/rtp/229.58.190.193:5000
齐齐哈尔经济法治,http://218.8.87.96:4000/rtp/229.58.190.171:5000
佳木斯新闻综合,http://218.8.87.96:4000/rtp/229.58.190.163:5000
CCTV-1综合,http://218.8.87.96:4000/rtp/229.58.190.151:5000
CCTV-1综合,http://218.8.87.96:4000/rtp/229.58.190.72:5000
CCTV-2财经,http://218.8.87.96:4000/rtp/229.58.190.153:5000
CCTV-3综艺,http://218.8.87.96:4000/rtp/229.58.190.24:5000
CCTV-4中文国际,http://218.8.87.96:4000/rtp/229.58.190.131:5000
CCTV-5体育,http://218.8.87.96:4000/rtp/229.58.190.60:5000
